1,RAFFREDDORE,3 GIORNI FUORI PER INFORTUNEO
2,INFLUENZA,7 GIORNI FUORI PER INFORTUNEO
3,VIRUS,14 GIORNI FUORI PER INFORTUNEO
4,COVID-19,21 GIORNI FUORI PER INFORTUNEO
6,GRAVE INFEZIONE VIRALE,1 MESE FUORI PER INFORTUNEO
7,CAVIGLIA SLOGATA,20 GIORNI FUORI PER INFORTUNEO
8,STIRAMENTO ALLA CAVIGLIA,14 GIORNI FUORI PER INFORTUNEO
9,CONTUSIONE AL PIEDE,15 GIORNI FUORI PER INFORTUNEO
11,STIRAMENTO GINOCCHIO,10 GIORNI FUORI PER INFORTUNEO
12,DISTORSIONE GINOCCHIO,30 GIORNI FUORI PER INFORTUNEO
13,INFIAMMAZIONE ROTULA,20 GIORNI FUORI PER INFORTUNEO
14,STRAPPO LEGAMENTO GINOCCHIO,60 GIORNI FUORI PER INFORTUNEO
16,STIRAMENTO BICIPITE FEMORALE,7 GIORNI FUORI PER INFORTUNEO
17,CONTUSIONE COSCIA,5 GIORNI FUORI PER INFORTUNEO
18,STIRAMENTO MUSCOLO COSCIA,14 GIORNI FUORI PER INFORTUNEO
19,STIRAMENTO INGUINE,14 GIORNI FUORI PER INFORTUNEO
21,STRAPPO MUSCOLO INGUINE,25 GIORNI FUORI PER INFORTUNEO
22,CONTUSIONE COSTOLA,3 GIORNI FUORI PER INFORTUNEO
23,STIRAMENTO ALLA SCHIENA,14 GIORNI FUORI PER INFORTUNEO
24,SCANDALO SOCIAL,15 GIORNI PER COMPORTAMENTO SCORRETTO
26,CREDO IN TE,SCHIERA TITOLARE UNO DEI PEGGIORI GIOCATORI DELLA ROSA
27,RITARDO ALLENAMENTO,7 GIORNI FUORI PER COMPORTAMENTO NON PROFESSIONALE
28,BERE AL PARCO,LICENZIA IL GIOCATORE PIU' FORTE E I DUE PIU' DEBOLI DEL VIVAIO
29,QUANDO TOCCA A NOI,SCHIERA LE RISERVE PER LA PROSSIMA PARTITA
31,SQUALIFICA PER DOPING,IL GIOCATORE NON PUÃ² GIOCARE PER L'INTERA STAGIONE CAUSA POSITIVITA' ANTIDOPING
32,SQUALIFICA PER CALCIOSCOMMESSE,IL GIOCATORE NON PUO' GIOCARE PER L'INTERA STAGIONE CAUSA CALCIOSCOMMESSE
33,SQUALIFICA PER INGIURIA ARBITRO,IL GIOCATORE E' SQUALIFICATO PER 2 PARTITE PER OFFESE ALL'ARBITRO
